"Date","Time","Test Total Time",
06/12/10,01:12:26,(hh:mm:ss): 9:36:39,
,,,
"Rated Capacity","Tested Capacity",,
3.20 Ah,2.40 Ah,,
,,,
"Cells","Battery Type","Battery Weight",
1,Li-ion,1.000 kg,
,,,
"Test Current","Graph Type",,
0.250 Amps,AmpHrs,,
,,,
"Test","Time","Voltage","Current"
"Mugen_3200mAh_Hero_0a",0,4.14,0.246
"Mugen_3200mAh_Hero_0a",1,4.14,0.246
"Mugen_3200mAh_Hero_0a",2,4.12,0.246
"Mugen_3200mAh_Hero_0a",3,4.10,0.246
"Mugen_3200mAh_Hero_0a",4,4.09,0.246
"Mugen_3200mAh_Hero_0a",5,4.09,0.246
"Mugen_3200mAh_Hero_0a",6,4.08,0.246
"Mugen_3200mAh_Hero_0a",7,4.08,0.246
"Mugen_3200mAh_Hero_0a",8,4.08,0.246
"Mugen_3200mAh_Hero_0a",9,4.08,0.246
"Mugen_3200mAh_Hero_0a",10,4.08,0.246
"Mugen_3200mAh_Hero_0a",11,4.08,0.248
"Mugen_3200mAh_Hero_0a",12,4.08,0.249
"Mugen_3200mAh_Hero_0a",13,4.08,0.249
"Mugen_3200mAh_Hero_0a",14,4.08,0.249
"Mugen_3200mAh_Hero_0a",15,4.08,0.251
"Mugen_3200mAh_Hero_0a",16,4.08,0.251
"Mugen_3200mAh_Hero_0a",17,4.08,0.251
"Mugen_3200mAh_Hero_0a",18,4.08,0.251
"Mugen_3200mAh_Hero_0a",19,4.08,0.251
"Mugen_3200mAh_Hero_0a",20,4.08,0.248
"Mugen_3200mAh_Hero_0a",21,4.08,0.251
"Mugen_3200mAh_Hero_0a",22,4.08,0.251
"Mugen_3200mAh_Hero_0a",23,4.08,0.251
"Mugen_3200mAh_Hero_0a",24,4.08,0.251
"Mugen_3200mAh_Hero_0a",25,4.08,0.249
"Mugen_3200mAh_Hero_0a",26,4.08,0.251
"Mugen_3200mAh_Hero_0a",27,4.08,0.249
"Mugen_3200mAh_Hero_0a",28,4.08,0.248
"Mugen_3200mAh_Hero_0a",29,4.08,0.251
"Mugen_3200mAh_Hero_0a",30,4.08,0.251
"Mugen_3200mAh_Hero_0a",31,4.08,0.251
"Mugen_3200mAh_Hero_0a",32,4.08,0.249
"Mugen_3200mAh_Hero_0a",33,4.08,0.251
"Mugen_3200mAh_Hero_0a",34,4.08,0.251
"Mugen_3200mAh_Hero_0a",35,4.08,0.251
"Mugen_3200mAh_Hero_0a",36,4.08,0.248
"Mugen_3200mAh_Hero_0a",37,4.08,0.249
"Mugen_3200mAh_Hero_0a",38,4.08,0.251
"Mugen_3200mAh_Hero_0a",39,4.08,0.251
"Mugen_3200mAh_Hero_0a",40,4.08,0.248
"Mugen_3200mAh_Hero_0a",41,4.08,0.251
"Mugen_3200mAh_Hero_0a",42,4.08,0.251
"Mugen_3200mAh_Hero_0a",43,4.08,0.249
"Mugen_3200mAh_Hero_0a",44,4.08,0.248
"Mugen_3200mAh_Hero_0a",45,4.08,0.251
"Mugen_3200mAh_Hero_0a",46,4.08,0.251
"Mugen_3200mAh_Hero_0a",47,4.08,0.251
"Mugen_3200mAh_Hero_0a",48,4.08,0.249
"Mugen_3200mAh_Hero_0a",49,4.08,0.251
"Mugen_3200mAh_Hero_0a",50,4.08,0.251
"Mugen_3200mAh_Hero_0a",51,4.08,0.248
"Mugen_3200mAh_Hero_0a",52,4.08,0.249
"Mugen_3200mAh_Hero_0a",53,4.08,0.251
"Mugen_3200mAh_Hero_0a",54,4.08,0.251
"Mugen_3200mAh_Hero_0a",55,4.08,0.248
"Mugen_3200mAh_Hero_0a",56,4.08,0.251
"Mugen_3200mAh_Hero_0a",57,4.08,0.251
"Mugen_3200mAh_Hero_0a",58,4.08,0.249
"Mugen_3200mAh_Hero_0a",59,4.08,0.248
"Mugen_3200mAh_Hero_0a",60,4.08,0.251
"Mugen_3200mAh_Hero_0a",61,4.08,0.251
"Mugen_3200mAh_Hero_0a",62,4.08,0.248
"Mugen_3200mAh_Hero_0a",63,4.08,0.251
"Mugen_3200mAh_Hero_0a",64,4.08,0.251
"Mugen_3200mAh_Hero_0a",65,4.08,0.251
"Mugen_3200mAh_Hero_0a",66,4.07,0.248
"Mugen_3200mAh_Hero_0a",67,4.07,0.249
"Mugen_3200mAh_Hero_0a",68,4.07,0.251
"Mugen_3200mAh_Hero_0a",69,4.07,0.251
"Mugen_3200mAh_Hero_0a",70,4.07,0.249
"Mugen_3200mAh_Hero_0a",71,4.07,0.251
"Mugen_3200mAh_Hero_0a",72,4.07,0.251
"Mugen_3200mAh_Hero_0a",73,4.07,0.251
"Mugen_3200mAh_Hero_0a",74,4.07,0.249
"Mugen_3200mAh_Hero_0a",75,4.07,0.249
"Mugen_3200mAh_Hero_0a",76,4.07,0.251
"Mugen_3200mAh_Hero_0a",77,4.07,0.249
"Mugen_3200mAh_Hero_0a",78,4.07,0.249
"Mugen_3200mAh_Hero_0a",79,4.07,0.251
"Mugen_3200mAh_Hero_0a",80,4.07,0.251
"Mugen_3200mAh_Hero_0a",81,4.07,0.251
"Mugen_3200mAh_Hero_0a",82,4.07,0.249
"Mugen_3200mAh_Hero_0a",83,4.07,0.249
"Mugen_3200mAh_Hero_0a",84,4.07,0.251
"Mugen_3200mAh_Hero_0a",85,4.07,0.248
"Mugen_3200mAh_Hero_0a",86,4.07,0.251
"Mugen_3200mAh_Hero_0a",87,4.07,0.251
"Mugen_3200mAh_Hero_0a",88,4.07,0.251
"Mugen_3200mAh_Hero_0a",89,4.07,0.251
"Mugen_3200mAh_Hero_0a",90,4.07,0.249
"Mugen_3200mAh_Hero_0a",91,4.07,0.251
